Total resident population,,,
Year,Male,Female,Total
1990,23826.2,27730.3,51556.5
1991,23886.5,27737.0,51623.5
1992,23949.4,27758.8,51708.2
1993,24046.3,27824.1,51870.4
1994,23981.1,27734.3,51715.4
1995,23792.3,27508.1,51300.4
1996,23591.6,27282.5,50874.1
1997,23366.2,27033.8,50400.0
1998,23163.5,26810.0,49973.5
1999,22963.4,26581.4,49544.8
2000,22754.7,26360.3,49115.0
2001,22530.4,26133.2,48663.6
2002,22316.3,25924.6,48240.9
2003,22112.5,25710.6,47823.1
2004,21926.8,25515.3,47442.1
2005,21754.0,25346.5,47100.5
2006,21574.7,25174.5,46749.2
2007,21434.7,25031.0,46465.7
2008,21297.7,24894.6,46192.3
2009,21185.0,24778.4,45963.4
2010,21107.1,24675.5,45782.6
2011,21032.6,24565.6,45598.2
2012,20976.7,24476.6,45453.3
2013,20962.7,24410.0,45372.7
2014,20918.3,24327.6,45245.9
2015,19787.8,22971.9,42759.7
2016,19717.9,22873.0,42590.9
2017,19644.6,22770.3,42414.9
2018,19558.2,22658.6,42216.8
2019,19455.3,22528.3,41983.6
2020,19343.5,22389.3,41732.8
2021,19195.4,22223.3,41418.7
2022,19007.0,21990.7,40997.7