Region,total immigrants,total emigrants,migration increase (decrease)
Vinnytsia Oblast,16268,18726,-2458
Volyn Oblast,11487,11887,-400
Dnipropetrovsk Oblast,30109,30392,-283
Donetsk Oblast,15119,20407,-5288
Zhytomyr Oblast,16620,17948,-1328
Zakarpattia Oblast,6700,6536,164
Zaporizhia Oblast,13302,15209,-1907
Ivano-Frankivsk Oblast,14499,13741,758
Kiev Oblast,57336,27242,30094
Kirovohrad Oblast,9238,12182,-2944
Luhansk Oblast,5722,9099,-3377
Lviv Oblast,27940,27107,833
Mykolaiv Oblast,9800,12014,-2214
Odessa Oblast,30819,24392,6427
Poltava Oblast,20296,20007,289
Rivne Oblast,15656,16991,-1335
Sumy Oblast,12809,15110,-2301
Ternopil Oblast,12773,12056,717
Kharkiv Oblast,42521,37820,4701
Kherson Oblast,8729,10802,-2073
Khmelnytskyi Oblast,16717,16850,-133
Cherkasy Oblast,14531,15927,-1396
Chernivtsi Oblast,7713,7282,431
Chernihiv Oblast,11073,12522,-1449
Kiev,49148,43415,5733