Region,total immigrants,total emigrants,migration increase (decrease)
Vinnytsya,10828,10437,391
Volyn,6228,7009,-781
Dnipropetrovsk,24825,23170,1655
Donetsk,13034,16873,-3839
Zhytomyr,10672,10467,205
Zakarpattya,4295,3563,732
Zaporizhya,9932,10914,-982
Ivano-Frankivsk,8838,7822,1016
Kyiv,29277,16300,12977
Kirovohrad,6653,7308,-655
Luhansk,4544,7014,-2470
Lviv,19829,18448,1381
Mykolayiv,7245,7375,-130
Odesa,22172,15818,6354
Poltava,12703,12172,531
Rivne,9103,10228,-1125
Sumy,9279,9813,-534
Ternopil,8180,6383,1797
Kharkiv,36283,29354,6929
Kherson,6164,6801,-637
Khmelnytskiy,10897,9753,1144
Cherkasy,8920,9006,-86
Chernivtsi,4722,4250,472
Chernihiv,7027,7686,-659
City of Kyiv,49148,43415,5733